bho,hin,removal_reasons
बाद में कुमार 2000 से 2006 ले भारत के संसद के ऊपरी सदन राज्यसभा के सदस्य के रूप में काम कइलें।,कुमार ने बाद में 2000 से 2006 तक भारत की संसद के ऊपरी सदन राज्यसभा के सदस्य के रूप में कार्य किया।,true_duplicate
"1957 में दुसरका आम चुनाव के समय तक, अम्बेडकर के मौत हो चुकल रहे।","1957 में दूसरे आम चुनाव के समय तक, अम्बेडकर की मृत्यु हो चुकी थी।",true_duplicate
राग के सौंदर्य के व्याख्या करे खातिर रचना के धुन के साथे स्वर के प्रयोग में फेरबदल कइल जाला।,राग के सौंदर्य का व्याख्या करने के लिए रचना की धुन के साथ-साथ स्वरों के प्रयोग में फेर-बदल किया जाता है।,true_duplicate
"अन्य महत्वपूर्ण गतिविधियन में वन, पर्यटन, बीमा, अचल संपत्ति आ विविध कुटीर उद्योग शामिल बा।","अन्य महत्वपूर्ण गतिविधियों में वानिकी, पर्यटन, बीमा, अचल संपत्ति और विविध कुटीर उद्योग शामिल हैं।",true_duplicate
ई अवंती साम्राज्य के राजधानी रहल।,यह अवंती साम्राज्य की राजधानी रही है।,true_duplicate
असम प्रान्त ब्रिटिश भारत के प्रमुख आठ प्रांत में से एगो रहल।,असम प्रांत ब्रिटिश भारत के प्रमुख आठ प्रांतों में से एक था।,true_duplicate
"एकरा बाद, उनकर अधिकांश फिल्मन व्यावसायिक रूप से असफल साबित भइल.","इसके बाद, उनकी अधिकांश फिल्में व्यावसायिक रूप से असफल साबित हुईं।",true_duplicate
बौद्ध लोग द्वारा संचालित पाली विद्यापीठ जइसन न्यास संस्थान भी बाटे।,बौद्धों द्वारा संचालित पाली विद्यापीठ जैसे न्यास संस्थान भी हैं।,true_duplicate
एकर कारण ग्रामीण क्षेत्र में अत्यधिक गरीबी बा।,इसका कारण ग्रामीण क्षेत्रों में अत्यधिक गरीबी है।,true_duplicate
"चारुलता के बाद के दौर में रे फंतासी, विज्ञान कथा आ जासूसी कथा से लेके ऐतिहासिक नाटक तक के बिबिध परियोजना पर काम कइलें।","चारुलता के बाद की अवधि में, रे ने फंतासी, विज्ञान कथा और जासूसी कहानियों से लेकर ऐतिहासिक नाटकों तक विभिन्न परियोजनाओं पर काम किया।",true_duplicate
"एकर इलाज अंतरोध के द्वारा कइल जा सकेला, आउर कौनो अपवर्तक त्रुटि के भी ठीक कइल जा सकेला.","इसका इलाज अंतर्रोध से किया जा सकता है, और किसी भी अपवर्तक त्रुटि को भी ठीक किया जा सकता है।",true_duplicate
गुजरात में 13 गो राज्य विश्वविद्यालय आ चार गो कृषि विश्वविद्यालय बाटे।,गुजरात में 13 राज्य विश्वविद्यालय और चार कृषि विश्वविद्यालय हैं।,true_duplicate
"जइसे हिंदू लोग मानेला कि धर्म सार्वभौमिक बा आ समय के साथ विकसित होला, कई हिंदू अन्य आध्यात्मिक पथ आउर धार्मिक परंपरा के भी महत्व देले बाड़ें।","जैसा कि हिंदू मानते हैं कि धर्म सार्वभौमिक है और समय के साथ विकसित होता है, कई हिंदू अन्य आध्यात्मिक पथों और धार्मिक परंपराओं को भी महत्व देते हैं।",true_duplicate
"1316 में उनकर मृत्यु के बाद, मलिक काफूर अलाउद्दीन के बेटा शिहाबुद्दीन आ उनकर हिंदू पत्नी झट्यपाली के कठपुतली सम्राट के रूप में नियुक्त कइलें।","1316 में उनकी मृत्यु के बाद, मलिक काफूर ने अलाउद्दीन के पुत्र, शिहाबुद्दीन और उनकी हिंदू पत्नी, झट्यपाली को कठपुतली सम्राट के रूप में नियुक्त किया।",true_duplicate
बिंदुसार आपन पिता द्वारा बनावल साम्राज्य के मजबूत कइलें।,बिंदुसार ने अपने पिता द्वारा बनाए गए साम्राज्य को मजबूत किया।,true_duplicate
इनके जीवन के कई गो अउरी लिखित आ मौखिक पारंपरिक संस्करण हिंदू आ जैन परंपरा में मौजूद बा।,उनके जीवन के कई अन्य लिखित और मौखिक पारंपरिक संस्करण हिंदू और जैन परंपराओं में मौजूद हैं।,true_duplicate
इ लिपि अंततः खमेर जइसन कई गो अउरी दक्षिण पूर्व एशियाई लिपि के जन्म दिहलस।,इस लिपि ने अंततः कई अन्य दक्षिण पूर्व एशियाई लिपियों जैसे खमेर को जन्म दिया।,true_duplicate
"पहिले से डिवीजन, कोर आ क्षेत्रीय स्तर पर सैनिकन के कमान संभाले के बाद, मानेकशाह 1969 में सेना के सातवाँ प्रमुख बनलें।","पहले से ही डिवीजन, कोर और क्षेत्रीय स्तरों पर सैनिकों की कमान संभालने के बाद, मानेकशॉ 1969 में सेना के सातवें प्रमुख बने।",true_duplicate
ई मीरिक उपखंड के मुख्यालय बाटे।,यह मिरिक उपखंड का मुख्यालय है।,true_duplicate
महरा में अलाउद्दीन खान के गुरुकुल जइसन कई गो गुरुकुल फले-फूल।,मैहर में अलाउद्दीन खान के गुरुकुल जैसे कई गुरुकुल फले-फूले।,true_duplicate
"मीरिक नाम लेप्चा शब्द मीर-योक से आइल बा जेकर मतलब होला ""आग से जलावल गइल जगह""।","मिरिक नाम लेप्चा शब्द मीर-योक से आया है जिसका अर्थ है ""आग से जला हुआ स्थान""।",true_duplicate
"तब तक, पाली मारवाड़ के राठौड़े के अधीन हो गइल रहे आ एगो वाणिज्यिक केंद्र बनला से पहिले महाराजा विजय सिंह द्वारा पुनः प्राप्त कइल गइल रहे।","तब तक, पाली मारवाड़ के राठौड़ों के अधीन हो गया था और एक वाणिज्यिक केंद्र बनने से पहले महाराजा विजय सिंह द्वारा पुनः प्राप्त कर लिया गया था।",true_duplicate
"अम्बेडकर राज्यसभा के सदस्य बन गइलें, शायद एगो नियुक्त सदस्य।","अम्बेडकर राज्यसभा के सदस्य बने, शायद एक नियुक्त सदस्य।",true_duplicate
"अधिकांश निवासी कृषि आ सम्बद्ध गतिविधियों में शामिल बाड़ें, हालांकि राज्य के सकल घरेलू उत्पाद में सेवा क्षेत्र के सबसे बड़ योगदान बाटे।","अधिकांश निवासी कृषि और संबद्ध गतिविधियों में शामिल हैं, हालाँकि राज्य के सकल घरेलू उत्पाद में सेवा क्षेत्र का सबसे बड़ा योगदान है।",true_duplicate
उ पहिला रानी बनबइले रहली आ ओकर बेटा अगला शासक बनबइले रहलें।,वह पहली रानी बनने वाली थी और उसका बेटा अगला शासक बनने वाला था।,true_duplicate
नर्मदा मध्य प्रदेश के सबसे लम्बी नदी बाटे।,नर्मदा मध्य प्रदेश की सबसे लंबी नदी है।,true_duplicate
ओही साल ग्वालियर में एगो मिल स्थापित कइल गइल रहे।,उसी वर्ष ग्वालियर में एक मिल स्थापित की गई थी।,true_duplicate
"उ पल्लव लिपि विकसित कइलें, जवना से ग्रंथ अंततः रूप ले लिहलें।","उन्होंने पल्लव लिपि विकसित की, जिससे ग्रंथ ने अंततः रूप लिया।",true_duplicate
इलाहाबाद उच्च न्यायालय इंदिरा गांधी के चुनावी कानून के उल्लंघन करे खातिर दोषी पावलस।,इलाहाबाद उच्च न्यायालय ने इंदिरा गांधी को चुनावी कानूनों के उल्लंघन का दोषी पाया था।,true_duplicate
ई हमरा खातिर सीख आ ज्ञान प्राप्त करे के समय रहे।,यह मेरे लिए सीखने और ज्ञान प्राप्त करने का समय था।,true_duplicate
"उत्तरी अंडमान जिला के मायाबंदर तहसील में करेन जनजाति के 2,000 से अधिक लोग रहेला, जवना में से लगभग सब ईसाई बाड़ें।","उत्तरी अंडमान जिले की मायाबंदर तहसील में करेन जनजाति के 2,000 से अधिक लोग रहते हैं, जिनमें से लगभग सभी ईसाई हैं।",true_duplicate
"जिला के क्षेत्रफल 2,748 वर्ग किलोमीटर बाटे आ 2001 के जनगणना के हिसाब से एकर जनसंख्या 660,923 बाटे।","जिले का क्षेत्रफल 2,748 वर्ग किलोमीटर है और 2001 की जनगणना के अनुसार इसकी जनसंख्या 660,923 है।",true_duplicate
"2001 में, उन्हें स्टारडस्ट अवार्ड्स द्वारा 'सहस्राब्दी के सर्वश्रेष्ठ निर्देशक' से सम्मानित कइल गइल।","2001 में, उन्हें स्टारडस्ट अवार्ड्स द्वारा 'सहस्राब्दी के सर्वश्रेष्ठ निर्देशक' से सम्मानित किया गया।",true_duplicate
"प्रधानमंत्री के रूप में आपन कार्यकाल के दौरान, भारत 1998 में पोखरण-दूसरा परमाणु परीक्षण कइलस।","प्रधान मंत्री के रूप में उनके कार्यकाल के दौरान, भारत ने 1998 में पोखरण-द्वितीय परमाणु परीक्षण किए।",true_duplicate
प्रमुख भारतीय राष्ट्रवादी लाला लाजपत राय लाहौर में विरोध प्रदर्शन के नेतृत्व कइलें।,प्रमुख भारतीय राष्ट्रवादी लाला लाजपत राय ने लाहौर में विरोध प्रदर्शन का नेतृत्व किया।,true_duplicate
"1945 में युद्ध के अंत के बाद, 1946 में मद्रास प्रेसीडेंसी में चुनाव भइल।","1945 में युद्ध की समाप्ति के बाद, 1946 में मद्रास प्रेसीडेंसी में चुनाव हुए।",true_duplicate
1919 में पंजाब विश्वविद्यालय से गणित में स्नातक कइलें।,उन्होंने 1919 में पंजाब विश्वविद्यालय से गणित में स्नातक की उपाधि प्राप्त की।,true_duplicate
झारखंड राज्य के अधिकांश हिस्सा अबही जंगल से घिराइल बा।,झारखंड राज्य का अधिकांश हिस्सा अभी भी जंगल से घिरा हुआ है।,true_duplicate
जंगल हाथी आ बाघ के आबादी के बनाए रखत बा।,वन हाथियों और बाघों की आबादी को बनाए रखते हैं।,true_duplicate
हैदराबाद आ तेलंगाना के अन्य जिलन में आंदोलन जारी रहल।,हैदराबाद और तेलंगाना के अन्य जिलों में आंदोलन जारी रहा।,true_duplicate
माहे क्षेत्र तीन गो जेब से बनल बा।,माहे क्षेत्र तीन पॉकेटों से बना है।,true_duplicate
