bho,hin,removal_reasons
ऊ दस बेर लोकसभा सांसद रहलें आ 2004 से ले के 2004 ले लोकसभा में गइलें।,वह दस बार लोकसभा सांसद रहे और 2004 से लेकर 2004 तक लोकसभा में गए,true_duplicate
बाकी बीस फीसदी रकम वन विकास आ वन्यजीव संरक्षण से जुड़ल बुनियादी सुविधा के तेरह गो काम पर खर्च कइल जाई।,शेष बीस प्रतिशत राशि वन विकास एवं वन्य जीव संरक्षण से संबंधित बुनियादी सुवि तेरह कार्यों पर खर्च की जायेगी,true_duplicate
पीठ उत्तर प्रदेश सरकार के घटना में बचे समुईउद्दीन के याचिका पर नोटिस जारी कइलसि.,पीठ ने घटना में जीवित बचे समीउद्दीन की याचिका पर उत्तर प्रदेश सरकार को नोटिस जारी किया,true_duplicate
"कहलन कि जल्दिए गोरखपुर का ओर से कोलकाता, मुंबई आ काठमांडो खातिर उड़ान शुरू कइल जाई.","उन्होंने कहा कि जल्द ही गोरखपुर से कलकत्ता, मुंबई और काठमांडू के लिए उड़ानें शुरू की जाएंगी",true_duplicate
बरखा के बावजूद सरधा में आयोजित जयंती कार्यक्रम में शामिल होखे खातिर देश-विदेश से श्रद्धालु मतुरा पहुंचले बाड़े।,बारिश के बावजूद सारधा में आयोजित जन्मोत्सव कार्यक्रम में शामिल होने के लिए देश विदेश से श्रद्धालु मथुरा पहुंचे हैं,true_duplicate
बस्ती जिला के सरजू नदी खतरा के निशान से ५७ सेंटीमीटर उपर बह रहल बा।,बस्ती जिले में सरजू नदी खतरे के निशान से 57 सेंटीमीटर ऊपर बह रही है,true_duplicate
नेपाल आर्थिक विकास आ समृद्धि खातिर भारत के प्रयास में पूरा सहयोग देत रही।,भारत नेपाल के आर्थिक विकास और समृद्धि के प्रयासों में पूरा सहयोग करता रहेगा,true_duplicate
एह मौका पर मुख्यमंत्री कहलन कि ई अभियान स्वच्छ आ हरियर नदी किनारे वाला 27 गो शहरन में शुरू कइल गइल बा।,इस अवसर पर मुख्यमंत्री ने कहा कि यह अभियान स्वच्छ एवं हरित नदी तटों वाले 27 शहरों में शुरू किया गया है,true_duplicate
वैज्ञानिक शैलेंद्र सिंह ढाका बतवलन कि बरखा से किसानन के बहुते नुकसान होई.,वैज्ञानिक शैलेन्द्र सिंह ढाका ने बताया कि बारिश से किसानों को भारी नुकसान होगा,true_duplicate
पश्चिमी यूपी में तेज हवा के साथे बरखा भइल,पश्चिमी उत्तर प्रदेश में तेज हवाओं के साथ बारिश हुई,true_duplicate
